features                                                                             train    test
(0,)                                                                               0.56493 0.57080
(0, 2, 4, 17, 18, 19, 20, 21, 22)                                                  0.99493 0.77827
(0, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.99044 0.81240
(0, 2, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.98782 0.81147
(0, 2, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.98880 0.78573
(0, 3, 4, 5, 6, 7, 8, 9, 10)                                                       0.94169 0.76747
(0, 3, 4, 11, 12, 13, 14, 15, 16)                                                  0.99733 0.77507
(0, 3, 4, 17, 18, 19, 20, 21, 22)                                                  0.99378 0.77707
(0, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.98929 0.81173
(0, 3, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.98631 0.81080
(0, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.98849 0.78480
(0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.99760 0.81813
(0, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.99711 0.81720
(0, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.99671 0.78707
(0, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)             0.98796 0.81253
(1, 2, 3, 4)                                                                       0.60836 0.57173
(1, 2, 3, 5, 6, 7, 8, 9, 10)                                                       0.82516 0.76720
(1, 2, 3, 11, 12, 13, 14, 15, 16)                                                  0.98173 0.77053
(1, 2, 3, 17, 18, 19, 20, 21, 22)                                                  0.97076 0.76427
(1, 2, 4, 5, 6, 7, 8, 9, 10)                                                       0.89596 0.77040
(1, 2, 4, 11, 12, 13, 14, 15, 16)                                                  0.99151 0.77560
(1, 2, 4, 17, 18, 19, 20, 21, 22)                                                  0.98324 0.76733
