features                                                                             train    test
(0,)                                                                               0.53107 0.53773
(1, 2, 3, 11, 12, 13, 16)                                                          0.53062 0.52267
(1, 2, 3, 17, 18, 19, 20, 21, 22)                                                  0.51542 0.51587
(1, 2, 4, 6)                                                                       0.66307 0.66693
(1, 2, 4, 11, 12, 13, 16)                                                          0.50453 0.50147
(1, 2, 4, 17, 18, 19, 20, 21, 22)                                                  0.51293 0.50720
(1, 2, 6, 11, 12, 13, 16)                                                          0.67649 0.67680
(1, 2, 6, 17, 18, 19, 20, 21, 22)                                                  0.62920 0.63093
(1, 2, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.52178 0.51480
(1, 3, 4, 6)                                                                       0.69191 0.69600
(1, 3, 4, 11, 12, 13, 16)                                                          0.50276 0.48707
(1, 3, 4, 17, 18, 19, 20, 21, 22)                                                  0.52600 0.52187
(1, 3, 6, 11, 12, 13, 16)                                                          0.68493 0.68267
(1, 3, 6, 17, 18, 19, 20, 21, 22)                                                  0.64596 0.64973
(1, 3, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.53702 0.53013
(1, 4, 6, 11, 12, 13, 16)                                                          0.69169 0.69280
(1, 4, 6, 17, 18, 19, 20, 21, 22)                                                  0.65236 0.66053
(1, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.51187 0.49920
(1, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.65089 0.64493
(2, 3, 4, 6)                                                                       0.64853 0.65107
(2, 3, 4, 11, 12, 13, 16)                                                          0.48996 0.48973
(2, 3, 4, 17, 18, 19, 20, 21, 22)                                                  0.50427 0.50067
(2, 3, 6, 11, 12, 13, 16)                                                          0.69471 0.69653
(2, 3, 6, 17, 18, 19, 20, 21, 22)                                                  0.65009 0.65227
(2, 3, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.51956 0.51253
(2, 4, 6, 11, 12, 13, 16)                                                          0.68969 0.68560
(2, 4, 6, 17, 18, 19, 20, 21, 22)                                                  0.63627 0.63867
(2, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.50489 0.50107
(2, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.62916 0.62867
(3, 4, 6, 11, 12, 13, 16)                                                          0.70142 0.69840
(3, 4, 6, 17, 18, 19, 20, 21, 22)                                                  0.66427 0.66440
(3, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.49409 0.48267
(3, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.66244 0.65813
(4, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.65689 0.65387
(0, 1, 2, 3, 4)                                                                    0.54751 0.55173
(0, 1, 2, 3, 6)                                                                    0.64169 0.64360
(0, 1, 2, 3, 11, 12, 13, 16)                                                       0.54551 0.54573
(0, 1, 2, 3, 17, 18, 19, 20, 21, 22)                                               0.54716 0.54627
(0, 1, 2, 4, 6)                                                                    0.63702 0.64253
(0, 1, 2, 4, 11, 12, 13, 16)                                                       0.54347 0.54787
(0, 1, 2, 4, 17, 18, 19, 20, 21, 22)                                               0.54778 0.54960
(0, 1, 2, 6, 11, 12, 13, 16)                                                       0.64720 0.64773
(0, 1, 2, 6, 17, 18, 19, 20, 21, 22)                                               0.62604 0.62773
(0, 1, 2, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.54316 0.54080
(0, 1, 3, 4, 6)                                                                    0.64538 0.64800
(0, 1, 3, 4, 11, 12, 13, 16)                                                       0.54804 0.54907
(0, 1, 3, 4, 17, 18, 19, 20, 21, 22)                                               0.54947 0.54960
(0, 1, 3, 6, 11, 12, 13, 16)                                                       0.65880 0.66107
(0, 1, 3, 6, 17, 18, 19, 20, 21, 22)                                               0.64178 0.63920
(0, 1, 3, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.55200 0.54520
(0, 1, 4, 6, 11, 12, 13, 16)                                                       0.66222 0.66453
(0, 1, 4, 6, 17, 18, 19, 20, 21, 22)                                               0.64173 0.64227
(0, 1, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.54893 0.54267
(0, 1, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.64036 0.63560
(0, 2, 3, 4, 6)                                                                    0.63684 0.63720
(0, 2, 3, 4, 11, 12, 13, 16)                                                       0.53662 0.54187
(0, 2, 3, 4, 17, 18, 19, 20, 21, 22)                                               0.53716 0.53680
(0, 2, 3, 6, 11, 12, 13, 16)                                                       0.65209 0.65467
(0, 2, 3, 6, 17, 18, 19, 20, 21, 22)                                               0.63111 0.63467
(0, 2, 3, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.54067 0.53947
(0, 2, 4, 6, 11, 12, 13, 16)                                                       0.65342 0.65360
(0, 2, 4, 6, 17, 18, 19, 20, 21, 22)                                               0.63124 0.63347
(0, 2, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.53849 0.54240
(0, 2, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.62502 0.62667
(0, 3, 4, 6, 11, 12, 13, 16)                                                       0.66076 0.66253
(0, 3, 4, 6, 17, 18, 19, 20, 21, 22)                                               0.63778 0.64013
(0, 3, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.54476 0.53907
(0, 3, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.64422 0.64440
(0, 4, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.64164 0.64280
(1, 2, 3, 4, 6)                                                                    0.65009 0.65107
(1, 2, 3, 4, 11, 12, 13, 16)                                                       0.52920 0.52427
(1, 2, 3, 4, 17, 18, 19, 20, 21, 22)                                               0.51556 0.51467
(1, 2, 3, 6, 11, 12, 13, 16)                                                       0.67862 0.67813
(1, 2, 3, 6, 17, 18, 19, 20, 21, 22)                                               0.64333 0.64787
(1, 2, 3, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.52511 0.51413
(1, 2, 4, 6, 11, 12, 13, 16)                                                       0.68142 0.68533
(1, 2, 4, 6, 17, 18, 19, 20, 21, 22)                                               0.64556 0.65240
(1, 2, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.52156 0.51387
(1, 2, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.64311 0.63973
(1, 3, 4, 6, 11, 12, 13, 16)                                                       0.68622 0.68733
(1, 3, 4, 6, 17, 18, 19, 20, 21, 22)                                               0.64596 0.65200
(1, 3, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.53600 0.52760
(1, 3, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.66476 0.66787
(1, 4, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.66502 0.66733
(2, 3, 4, 6, 11, 12, 13, 16)                                                       0.69498 0.69200
(2, 3, 4, 6, 17, 18, 19, 20, 21, 22)                                               0.65760 0.65800
(2, 3, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.51942 0.51227
(2, 3, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.65667 0.65547
(2, 4, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.64942 0.64933
(3, 4, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                  0.66902 0.66747
(0, 1, 2, 3, 4, 6)                                                                 0.64293 0.64427
(0, 1, 2, 3, 4, 11, 12, 13, 16)                                                    0.54716 0.54813
(0, 1, 2, 3, 4, 17, 18, 19, 20, 21, 22)                                            0.54893 0.54973
(0, 1, 2, 3, 6, 11, 12, 13, 16)                                                    0.65573 0.65853
(0, 1, 2, 3, 6, 17, 18, 19, 20, 21, 22)                                            0.63920 0.63653
(0, 1, 2, 3, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.55053 0.54453
(0, 1, 2, 4, 6, 11, 12, 13, 16)                                                    0.65804 0.66107
(0, 1, 2, 4, 6, 17, 18, 19, 20, 21, 22)                                            0.63880 0.63987
(0, 1, 2, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.54862 0.54467
(0, 1, 2, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.63622 0.63267
(0, 1, 3, 4, 6, 11, 12, 13, 16)                                                    0.66138 0.66453
(0, 1, 3, 4, 6, 17, 18, 19, 20, 21, 22)                                            0.64360 0.64280
(0, 1, 3, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.55382 0.54800
(0, 1, 3, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.64978 0.64773
(0, 1, 4, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.64933 0.64533
(0, 2, 3, 4, 6, 11, 12, 13, 16)                                                    0.65609 0.65680
(0, 2, 3, 4, 6, 17, 18, 19, 20, 21, 22)                                            0.63476 0.63787
(0, 2, 3, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.54333 0.53893
(0, 2, 3, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.64200 0.64253
(0, 2, 4, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.63884 0.63853
(0, 3, 4, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.64804 0.64760
(1, 2, 3, 4, 6, 11, 12, 13, 16)                                                    0.68067 0.67947
(1, 2, 3, 4, 6, 17, 18, 19, 20, 21, 22)                                            0.64284 0.64800
(1, 2, 3, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                               0.52573 0.51507
